productID;similarProductID1;similarProductID2;similarProductID3
4971850491;B000BM7KAU;B000EQVZOU;B000BQVU8Y
4971850788;B0007RTC50;0789208628;1861262337
4971850813;0789208628;1861262337;4971850491
7966780883;B000EQVZ86;B0007IR4U4;B000A7G45I
B00004TF4K;0789208628;1861262337;4971850491
B00005OT8S;0789208628;1861262337;4971850491
B00005OT8V;0789208628;1861262337;4971850491
B00005OT8W;0789208628;1861262337;4971850491
B00005OT91;0789208628;1861262337;4971850491
B00005QEME;0789208628;1861262337;4971850491
B00005QY08;0789208628;1861262337;4971850491
B00005U7S9;0789208628;1861262337;4971850491
B0000643Q6;B0000C9ZBZ;B000JKNU94;B0000C9ZCX
B0000643Q8;B000JTHAFK;B000EMDAXS;B000MNCH9W
B0000643Q9;B0007KTGM6;B000ETU7MI;B000EU0KB0
B000068X4M;0789208628;1861262337;4971850491
B00006A7DQ;0789208628;1861262337;4971850491
B00006I5XQ;B000GGTWR0;B0000C2TOF;0789208628
B00006I5XR;B0000TIIHS;0789208628;1861262337
B00006I5XZ;B0009WXTES;0789208628;1861262337
B00006I5Y5;0789208628;1861262337;4971850491
B00006I5Y8;0789208628;1861262337;4971850491
B00006I5YC;0789208628;1861262337;4971850491
B00006I5YE;0789208628;1861262337;4971850491
B00006I5YG;B0000U0LRC;B000GB1RAA;B00093CZV0
B00006I5YJ;B0000TIJJ0;0789208628;1861262337
B00006I5YQ;B000B545DM;0789208628;1861262337
B00007E7KA;0789208628;1861262337;4971850491
B00008BNXP;B000AQTAD2;B000AQTAE6;B0000TIIH8
B00008BNXS;0789208628;1861262337;4971850491
B00008EEZ7;B000099CRO;B00011KGH0;0789208628
B00008IM8Q;0789208628;1861262337;4971850491
B00008IM8R;B000FEO3MM;B000FGC4RQ;B000B55AEA
B00008IM8S;0789208628;1861262337;4971850491
B00008IM8T;B0002M9T3U;B0006ACQQA;B0000U0LR2
B00008IM8U;B000OUW0NG;B0006H6FKG;B0000TIJ4U
B00008IM8W;0789208628;1861262337;4971850491
B00008K1OX;0789208628;1861262337;4971850491
B00009IO8W;0789208628;1861262337;4971850491
B00009K3Q5;0789208628;1861262337;4971850491
B00009L7N5;B000083KCI;B0000B19R0;0789208628
B00009NH3R;B00020J0YK;B000AQVS3M;B0009UWGNK
B00009OZB6;B0007W7KLI;0789208628;1861262337
B00009VE3Y;0789208628;1861262337;4971850491
B0000A1XSN;0789208628;1861262337;4971850491
B0000AFVG3;B0000AFVG5;0789208628;1861262337
B0000AFVG5;B0000AFVG3;0789208628;1861262337
B0000AJZRD;B0000ARMPD;0789208628;1861262337
B0000AN4JF;B000GB1R8W;0789208628;1861262337
B0000AVV8S;0789208628;1861262337;4971850491
B0000BVGKL;0789208628;1861262337;4971850491
B0000C0SCT;B00024WASO;0789208628;1861262337
B0000C0SCY;B000GB0G0C;B000GB1R7S;0789208628
B0000C0SCZ;B000BM54DK;B000GB1RB4;B000GB0FYE
B0000C0SD1;0789208628;1861262337;4971850491
B0000C0SD3;0789208628;1861262337;4971850491
B0000C0SE2;B0007VQSKI;B0000C2TOF;B000A7KB7U
B0000C0SE4;0789208628;1861262337;4971850491
B0000DJZXB;0789208628;1861262337;4971850491
B0000TFOPM;0789208628;1861262337;4971850491
B0000TFSPS;B0009GV3II;B0007QMAD2;B0006IHHMU
B0000TFVDW;0789208628;1861262337;4971850491
B0000TFVLE;0789208628;1861262337;4971850491
B0000TFVNM;0789208628;1861262337;4971850491
B0000TFW0Y;0789208628;1861262337;4971850491
B0000TII00;B000EI21NW;B000F99DLS;B000IZCO06
B0000TII0K;B0007N5424;B00020J144;B000B545A0
B0000TII1E;0789208628;1861262337;4971850491
B0000TII3C;B0002M9SW2;B000GX3IKK;B000AQTAAK
