strategy,behavior,mean_prop_fraud,mean_prop_nonfraud,uplift,n_fraud,n_nonfraud
Relevance,拒绝,0.0022222222222222222,0.0,inf,75,4
Clarity,拒绝,0.00869460500963391,0.002631578947368421,3.3039499036608855,346,76
Clarity,请求,0.5408340214698596,0.20640664160401,2.6202355566999955,346,76
Factual Authenticity,请求,0.6457407407407407,0.2491183913178798,2.5921038479923517,570,1173
Relevance,请求,0.6221746031746032,0.4,1.5554365079365078,75,4
Personalization,请求,0.525535113035113,0.3881032412965186,1.354111630914192,396,35
Clarity,确认,0.19419900908340218,0.14666353383458647,1.3241124361726364,346,76
Factual Authenticity,确认,0.209421470342523,0.20529506488585772,1.0200998765311748,570,1173
Personalization,确认,0.16418650793650794,0.19245698279311724,0.8531075648889351,396,35
Personalization,陈述,0.28924663299663306,0.34775910364145657,0.8317442447023601,396,35
Relevance,确认,0.1373862433862434,0.2,0.686931216931217,75,4
Relevance,陈述,0.23821693121693122,0.39999999999999997,0.5955423280423281,75,4
Factual Authenticity,拒绝,0.005029239766081871,0.009851621808143547,0.5104986634712877,570,1173
Clarity,陈述,0.2562723644371043,0.644298245614035,0.3977542484115711,346,76
Personalization,拒绝,0.021031746031746033,0.07168067226890756,0.29340888367852025,396,35
Factual Authenticity,陈述,0.13980854915065444,0.535734921988119,0.26096590573529005,570,1173
Relevance,其他,0.0,0.0,0.0,75,4
Personalization,其他,0.0,0.0,0.0,396,35
Clarity,其他,0.0,0.0,0.0,346,76
Factual Authenticity,其他,0.0,0.0,0.0,570,1173
Completeness,请求,0.0,0.7,0.0,0,2
Completeness,陈述,0.0,0.1,0.0,0,2
Completeness,确认,0.0,0.2,0.0,0,2
Completeness,拒绝,0.0,0.0,0.0,0,2
Completeness,其他,0.0,0.0,0.0,0,2
